Comune,Località,Nome_località,Alt,accessibilità principale,descrizione tipologica,servizi,elementi urbanistici,viabilità interna 1,viabilità interna 2,edifici civili,edifici rurali,edifici multifunzione,edifici in rovina,uso originario - attuale 1,uso originario - attuale 2,stato di conservazione,giacitura e soleggiamento (descrizione morfologica)
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Cassine - Abaret (https://www.notion.so/Cassine-Abaret-b01ab7c8c54e4624b34ba6c147138df6?pvs=21),Abaret,1654,strada asfaltata,accentrato,"RE, RI",fontana,veicolare,terra battuta,14,4,0,0,stagionale,discontinuo,complesso in discrete condizioni con interventi di recupero non corretti,in pendenza montagna / medio
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Alpe Fontana (https://www.notion.so/Alpe-Fontana-cf210b7578da4aa198d106557dacb05c?pvs=21),Alla Fontana,1000,sentiero,accentrato,0,fontana,pedonale,"terra battuta, piode, acciottolato",2,8,12,4,stagionale,stagionale,senza gravi alterazioni ma in stato di abbandono e carente di manutenzione,in pendenza mezza costa / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Laguzzolo (https://www.notion.so/Laguzzolo-62d3a4b1f2ec42f59a7b2c84f009b019?pvs=21),Alpe Aguzzolo,1768,sentiero,accentrato,0,,pedonale,"terra battuta, piode, acciottolato",17,5,0,1,stagionale,stagionale,complesso in discrete condizioni di conservazione,in pendenza montagna / buono
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Angeloga (https://www.notion.so/Angeloga-cb025a931cc740f3825aad20e06f9a6a?pvs=21),Alpe Angeloga,2046,sentiero,accentrato,"RI, TP",fontana,pedonale,terra battuta,17,9,3,1,stagionale,stagionale,complesso in discrete condizioni con interventi di recupero non corretti,in piano montagna / medio
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Alpe Ansiedee (https://www.notion.so/Alpe-Ansiedee-121f58fc483f402eb2d9d642f8d53e1f?pvs=21),Alpe Ansiedei,550,sentiero,accentrato,0,fontana,pedonale,"terra battuta, piode, acciottolato",2,0,0,23,stagionale,abbandono,complesso in pessime condizioni di conservazione,in pendenza / medio
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Avero (https://www.notion.so/Avero-6ac0d7eb6d704243bf67b7abf1acc158?pvs=21),Alpe Avero,1680,sentiero,accentrato,,fontana,pedonale,terra battuta,,,,,stagionale,stagionale,senza gravi alterazioni ma in stato di abbandono e carente di manutenzione,in pendenza montagna / medio
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Alpe Bocci (https://www.notion.so/Alpe-Bocci-0b20ce1e70574573a9cc1c9f005f0265?pvs=21),Alpe Bocci,1730,sentiero,a nuclei,0, ,pedonale,terra battuta,3,19,4,6,stagionale,stagionale,senza gravi alterazioni ma in stato di abbandono e carente di manutenzione,in pendenza montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Bondeno di Fuori (https://www.notion.so/Bondeno-di-Fuori-fdca50b7aea047e5b0490aa347bf2abd?pvs=21),Alpe Bondeno di Fuori,1630,strada sterrata,lineare,RE,fontana,pedonale,"terra battuta, piode, acciottolato",6,2,0,4,stagionale,stagionale,senza gravi alterazioni ma in stato di abbandono e carente di manutenzione,in piano montagna / buono
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Alpe Ca Togni / Bondioo (https://www.notion.so/Alpe-Ca-Togni-Bondioo-104bb5d0e6874f839c39d26d47e8b337?pvs=21),Alpe Cà Togni,1855,sentiero,accentrato,0, ,pedonale,terra battuta,5,5,3,1,stagionale,stagionale,complesso in discrete condizioni di conservazione,in piano montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Alpe Calones (https://www.notion.so/Alpe-Calones-dd4d9220c62143b2aa05ab912a7dd539?pvs=21),Alpe Calones,1407,sentiero,sparso,0,fontana,pedonale,terra battuta,1,0,12,4,stagionale,stagionale,senza gravi alterazioni ma in stato di abbandono e carente di manutenzione,in pendenza montagna / buono
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Calvedro (https://www.notion.so/Calvedro-e770984dd29a4fe68ebbbdaf91bfcd4b?pvs=21),Alpe Calvedro,1885,sentiero,a nuclei,0,fontana,pedonale,terra battuta,1,5,1,6,stagionale,abbandono,complesso in pessime condizioni di conservazione,in pendenza montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Alpe Cassinella (https://www.notion.so/Alpe-Cassinella-080eaa96af144dc980417a9f78c9725d?pvs=21),Alpe Cassinella,1165,sentiero,accentrato,RE,fontana,pedonale,terra battuta,4,3,0,5,stagionale,stagionale,senza gravi alterazioni ma in stato di abbandono e carente di manutenzione,in pendenza / buono
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Alpe Cort Sora (https://www.notion.so/Alpe-Cort-Sora-1e6904a31e0e46ceafad4eda22535293?pvs=21),Alpe Cort Sora,1858,sentiero,accentrato,0,fontana,pedonale,terra battuta,3,6,0,3,stagionale,stagionale,complesso in discrete condizioni di conservazione,in piano montagna / buono
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Alpe Crespallo (https://www.notion.so/Alpe-Crespallo-1b67de3944b64fc59c5592ea1349780d?pvs=21),Alpe Crespallo,1935,sentiero,accentrato,0,,pedonale,"terra battuta, piode",0,1,8,4,stagionale,abbandono,senza gravi alterazioni ma in stato di abbandono e carente di manutenzione,in pendenza montagna / buono
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Servizio di Sopra (https://www.notion.so/Servizio-di-Sopra-6b98127b4c6d43f2a0a3d073e898ff4f?pvs=21),Alpe di Servizio di Sopra,1956,sentiero,a nuclei,0,fontana,pedonale,terra battuta,4,7,0,26,stagionale,stagionale,complesso in pessime condizioni di conservazione,in piano montagna / medio
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Alpe Fontana / Fontana (https://www.notion.so/Alpe-Fontana-Fontana-1db4ffc8d9f24a20996ac766b3b70d39?pvs=21),Alpe Fontana,1480,sentiero,sparso,0,fontana,pedonale,terra battuta,1,7,4,10,stagionale,abbandono,complesso in pessime condizioni di conservazione,in piano montagna / medio
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Alpe Foppe (https://www.notion.so/Alpe-Foppe-d60f8b92bf0d4b34875fd1b3e7b3e9bf?pvs=21),Alpe Foppe,1718,sentiero,accentrato,0, ,pedonale,terra battuta,2,11,2,5,stagionale,abbandono,complesso in pessime condizioni di conservazione,in piano montagna / medio
