Sottosistemi territoriali,Località,Com_Den,Giurisdizione,Grigioni_quartieri,concat,Loc den storico_Grigioni,Grigioni_suddivisioni tipo,Grigioni_sottosistemi,Grigioni_Pop_ n fam,Grigioni_Pop_n tot stimato,PRE GRIGIONI_suddisione_tipo,Grigioni_chiese_datazione
Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),,Chiavenna,Giurisdizione di Chiavenna,quartiere di Loreto,Loreto,Loreto,quartiere,,,,,Madonna di Loreto_1618
Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),,Chiavenna,Giurisdizione di Chiavenna,quartiere di Bette,Bette,Bette,quartiere,,,,vicinia,San Gregorio Papa_1613
Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),,Chiavenna,Giurisdizione di Chiavenna,quartiere di Pianazzola,Pianazzola,Pianazzola,quartiere,,,,vicinia, 
Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),,Chiavenna,Giurisdizione di Chiavenna,quartiere di San Carlo,S Carlo,S Carlo,quartiere,,,,,San Carlo_1618
Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),,Chiavenna,Giurisdizione di Chiavenna,quartiere di Campedello,Campedello,Campedello,quartiere,,,,,SS Bernardo e Rocco_XV sec
Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),,Chiavenna,Giurisdizione di Chiavenna,,Chiavenna,Chiavenna,,,,1182,quartieri di Chiavenna: Montano Mezzo Ponte Oltremera,San Lorenzo_1098San Bartolomeo_1062San Giovanni_1108San Fedele alle Pergole_1016
Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Gordona,Giurisdizione di Chiavenna,quartiere di Coloredo e Monti di Menarola,Menarola,Monti di Menarola,quartiere,,,,, 
Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Gordona,Giurisdizione di Chiavenna,quartiere di Coloredo e Monti di Menarola,Coloredo,Coloredo,quartiere,,,,,Sant'Anna_1740
Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Gordona,Giurisdizione di Chiavenna,quartiere di Cimavilla e Gasparoni,Cimavilla,Cimavilla,quartiere,,,,,Immacolata_1678 [note:indipendente dal 1756 come comune]
Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Gordona,Giurisdizione di Chiavenna,quartiere di Cimavilla e Gasparoni,Gasparoni,Gasparoni,quartiere,,,,, 
Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Gordona,Giurisdizione di Chiavenna,quartiere di Ponte e Pendoglia,Ponte,Ponte,quartiere,,,,, 
Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Gordona,Giurisdizione di Chiavenna,quartiere di Ponte e Pendoglia,Pendoglia,Pendoglia,quartiere,,,,, 
Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Gordona,Giurisdizione di Chiavenna,quartiere di Piazzoli e Scogli,Piazzoli,Piazzoli,quartiere,,,,, 
Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Gordona,Giurisdizione di Chiavenna,quartiere di Piazzoli e Scogli,Scogli_np,Scogli,quartiere,,,,, 
Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Gordona,Giurisdizione di Chiavenna,,Gordona,Gordona,,,,1101,commune loci di Cordona e Coloredo,San Martino_XIV secSanta Caterina_1350
Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Lezzeno superiore / Novate,Giurisdizione di Chiavenna,quartiere della Chiesa di San Fedele,Villa,Villa,squadra,,,,nucleo, 
Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Lezzeno superiore / Novate,Giurisdizione di Chiavenna,,Vico, ,,,,,nucleo, 
Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Lezzeno superiore / Novate,Giurisdizione di Chiavenna,quartiere della Chiesa di San Fedele,Sceglio,Sceglio,squadra,,,,nucleo, 
Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Lezzeno superiore / Novate,Giurisdizione di Chiavenna,quartiere della Chiesa di San Fedele,Frasnedo,Frasnedo,squadra,,,,,Madonna della Neve_1677
Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Lezzeno superiore / Novate,Giurisdizione di Chiavenna,quartiere della Chiesa di San Fedele,Foppaccia,Foppaccia,squadra,,,,,Sant'Anna_1762
Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Lezzeno superiore / Novate,Giurisdizione di Chiavenna,quartiere della Chiesa di San Fedele,Verceia,Verceja e Valle Ratti,squadra,,,,nucleo, 
Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Lezzeno superiore / Novate,Giurisdizione di Chiavenna,quartiere della Chiesa di San Fedele,Chiesa di San Fedele,Chiesa di San Fedele,quartiere,,,,,San Fedele_XV sec
Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Lezzeno superiore / Novate,Giurisdizione di Chiavenna,quartiere di Novate,Cola,Cola con San Giorgio,squadra,,,,,Visitazione_XVII sec
Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Lezzeno superiore / Novate,Giurisdizione di Chiavenna,quartiere di Novate,S Giorgio,Cola con San Giorgio,squadra,,,,, 
Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Lezzeno superiore / Novate,Giurisdizione di Chiavenna,quartiere di Novate,Codera,Codera,squadra,,,,,San Giovanni Battista_XVI sec
Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Lezzeno superiore / Novate,Giurisdizione di Chiavenna,quartiere di Novate,Campo,Campo,squadra,,,,,San Colombano_XVI sec
Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Lezzeno superiore / Novate,Giurisdizione di Chiavenna,quartiere di Novate,Novate Mezzola,Novate,quartiere,,,341,,"SS Trinità_XV secS Antonio da Padova_XVII sec
[note: toponimo Nova villa]"
Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),,Mese,Giurisdizione di Chiavenna,quartiere di Mattadello,Mattadello / Matarello_np - capire nome - Grigioni,Mattadello,quartiere,,,,, 
Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),,Mese,Giurisdizione di Chiavenna,,Carcasacco_np - capire nome - Grigioni,Carcasacco,squadra,,,,, 
