Comuni;Sottosistema;Denominazione;Codice localita;slm;Reti servizi presenti;Accessibilità principale;Viabilità interna;res 2022 - da verificare
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21);Lirone/Gallivaggio (https://www.notion.so/Lirone-Gallivaggio-74919d941e124f1b93ad293980a67d4f?pvs=21);Lirone;1;852;BT, ILL, RE, RI, RT;strada asfaltata;pedonale, piode, terra battuta;16
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21);Lirone/Gallivaggio (https://www.notion.so/Lirone-Gallivaggio-74919d941e124f1b93ad293980a67d4f?pvs=21);Gallivaggio;2;796;ILL, RE, RI, RT;strada asfaltata;acciottolato a coltello con traversine trasversali, pedonale, piode, terra battuta;8
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21);Lirone/Gallivaggio (https://www.notion.so/Lirone-Gallivaggio-74919d941e124f1b93ad293980a67d4f?pvs=21);Cimaganda;2;915;ILL, RE, RI, RT;strada asfaltata;pedonale, terra battuta;4
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21);Lirone/Gallivaggio (https://www.notion.so/Lirone-Gallivaggio-74919d941e124f1b93ad293980a67d4f?pvs=21);Avero;3;1680;;sentiero;pedonale, terra battuta;
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21);Lirone/Gallivaggio (https://www.notion.so/Lirone-Gallivaggio-74919d941e124f1b93ad293980a67d4f?pvs=21);Zoccane;3;1470;;sentiero;pedonale, terra battuta;
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21);Lirone/Gallivaggio (https://www.notion.so/Lirone-Gallivaggio-74919d941e124f1b93ad293980a67d4f?pvs=21);Mottasecca;3;1670;;sentiero;pedonale, terra battuta;
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21);Olmo (https://www.notion.so/Olmo-e266e73304de44659843f19c2192bf9a?pvs=21);Olmo;1;1056;ILL, RE, RI, RT;sentiero, strada asfaltata;acciottolato a coltello con traversine trasversali, pedonale, terra battuta;26
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21);Olmo (https://www.notion.so/Olmo-e266e73304de44659843f19c2192bf9a?pvs=21);Zecca;3;1162;RI;sentiero, strada sterrata;pedonale, terra battuta;
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21);Olmo (https://www.notion.so/Olmo-e266e73304de44659843f19c2192bf9a?pvs=21);La Motta;2;997;ILL, RE, RI, RT;sentiero, strada asfaltata;acciottolato a coltello con traversine trasversali, pedonale, terra battuta;4
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21);Olmo (https://www.notion.so/Olmo-e266e73304de44659843f19c2192bf9a?pvs=21);Ca di Rusca;1;1050;ILL, RE, RI, RT;sentiero, strada asfaltata;acciottolato a coltello con traversine trasversali, pedonale, terra battuta;14
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21);Olmo (https://www.notion.so/Olmo-e266e73304de44659843f19c2192bf9a?pvs=21);Ca di Bara;2;1100;RE, RI;sentiero;acciottolato a coltello con traversine trasversali, pedonale, terra battuta;1
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21);Olmo (https://www.notion.so/Olmo-e266e73304de44659843f19c2192bf9a?pvs=21);Lendine;3;1693;RI;sentiero;pedonale, terra battuta;
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21);Olmo (https://www.notion.so/Olmo-e266e73304de44659843f19c2192bf9a?pvs=21);Alpe Corte Secca;3;1300;;sentiero;pedonale, terra battuta;
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21);Olmo (https://www.notion.so/Olmo-e266e73304de44659843f19c2192bf9a?pvs=21);Laguzzolo;3;1768;RI;sentiero;pedonale, terra battuta;
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21);Olmo (https://www.notion.so/Olmo-e266e73304de44659843f19c2192bf9a?pvs=21);Tecchio Mezzo - Costa;3;1150;RE, RI;sentiero;pedonale, terra battuta;
San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21);San Bernardo (https://www.notion.so/San-Bernardo-026e9f633635428bae3ee14694a74cd8?pvs=21);San Bernardo;1;1099;ILL, RE, RI, RT;sentiero, strada asfaltata;acciottolato a coltello con traversine trasversali, pedonale, terra battuta;4
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21);Madesimo;1;1560;BT, ILL, P, RE, RI;strada asfaltata;veicolare;386
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21);Alpe Forcelli;3;;ILL, RE, RI;strada asfaltata;;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21);Alpe Maccolini;2;1668;ILL, RE, RI;strada asfaltata;veicolare;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21);Zerbi;2;1600;ILL, RE, RI;strada sterrata;pedonale, terra battuta, veicolare;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21);Alpe Emet;3;2168;BT;sentiero, strada sterrata;pedonale, terra battuta;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21);Cassine - Abaret;3;1654;ILL, RE, RI;strada asfaltata;veicolare;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21);Baroi;3;1622;ILL, RE, RI;strada asfaltata;veicolare;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21);Alpe Groppera;2;1912;RE, RI;strada asfaltata;pedonale, terra battuta;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21);Pianello;2;1746;RE, RI;strada asfaltata;pedonale, terra battuta, veicolare;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21), Montespluga (https://www.notion.so/Montespluga-11c7c49d99b180bdaf57cc1057bb2332?pvs=21);Alpe Suretta;3;1924;ILL, RE, RI;strada asfaltata, strada sterrata;terra battuta, veicolare;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21), Montespluga (https://www.notion.so/Montespluga-11c7c49d99b180bdaf57cc1057bb2332?pvs=21);Montespluga;1;1905;BT, ILL, P, RE, RI;strada asfaltata, strada sterrata;pedonale, terra battuta, veicolare;12
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21), Teggiate (https://www.notion.so/Teggiate-4e5ac1299c8b4e848d403ad2684037b5?pvs=21);Stuetta;2;1872;;strada asfaltata;pedonale, terra battuta, veicolare;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21);Pianazzo;1;1395;;;veicolare;67
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21), Teggiate (https://www.notion.so/Teggiate-4e5ac1299c8b4e848d403ad2684037b5?pvs=21);Teggiate;2;1688;;sentiero;pedonale, terra battuta;
