Comuni,Anno cens,Com_Den,"Sottosistemi territoriali ",Località,Località _1807,Fr_Pop res,Loc_Cod,Fr_Tipo,concat
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Valle San Giacomo,Portarezza (https://www.notion.so/Portarezza-75e1c612637a4ac4bf5030718a5d3a6a?pvs=21),Portarezza (https://www.notion.so/Portarezza-5e1019ae64ee487dbcb542e14f2c7510?pvs=21),Portarezza,217,1 - centro,frazione,
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Valle San Giacomo,Starleggia (https://www.notion.so/Starleggia-2c4de700098e489297123369d97d3738?pvs=21),Starleggia (https://www.notion.so/Starleggia-4bcaf289dbc64efea01a78f87a24755e?pvs=21),Starleggia inferiore,173,1 - centro,frazione,
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Valle San Giacomo,Fraciscio (https://www.notion.so/Fraciscio-31b6116ab8d74f17876c6b10d56ea92f?pvs=21),Fraciscio (https://www.notion.so/Fraciscio-592929440fdd42e6a321f27ae9826033?pvs=21),Fraciscio,140,1 - centro,frazione,
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Valle San Giacomo,Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-e3ee37c7c7da48e09f77f9ba6472db9a?pvs=21),Campodolcino,462,1 - centro,frazione,
Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Chiavenna,Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Uschione (https://www.notion.so/Uschione-f95a0da0233e40f1a88dbd2434e119d1?pvs=21),Uschione,160,1 - centro,frazione,Uschione
Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Chiavenna,Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-91234617eccd474aae4338f5c71427b8?pvs=21),Chiavenna,2236,1 - centro,frazione,Chiavenna
Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Chiavenna,Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Campedello (https://www.notion.so/Campedello-883567e172c54eee90dc73b411f3d19d?pvs=21),Campedello,98,1 - centro,frazione,Campedello
Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Gordona,Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Ponte,130,1 - centro,frazione,Ponte
Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Gordona,Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Pendoglia,160,1 - centro,frazione,Pendoglia
Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Gordona,Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Gordona (https://www.notion.so/Gordona-7eac82b76f2a46278918bbbdff80299b?pvs=21),Gordona,170,1 - centro,frazione,Gordona
Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Gordona,Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Gasparoni (https://www.notion.so/Gasparoni-4b4b6d4a7e6d4da9a308fbb1dbd6d600?pvs=21),Gasparoni,143,1 - centro,frazione,Gasparoni
Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Gordona,Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Fondo,110,1 - centro,frazione,Fondo_np - 1807
Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Gordona,Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Coloredo,130,1 - centro,frazione,Coloredo
Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Gordona,Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Cimavilla,107,1 - centro,frazione,Cimavilla
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Valle San Giacomo,Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21),Isola (https://www.notion.so/Isola-59cbc18aa9b1402fb2a0ba148ceaf494?pvs=21),Isola,508,1 - centro,frazione,
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Valle San Giacomo,Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21),Pianazzo (https://www.notion.so/Pianazzo-70162b5d2b4e4e07854f2ee3faa93a2d?pvs=21),Pianazzo,207,1 - centro,frazione,
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Valle San Giacomo,Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21),Madesimo (https://www.notion.so/Madesimo-bff04dff85a54650aa7bf9b910f8f0d7?pvs=21),Madesimo,290,1 - centro,frazione,
Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Menarola,Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),,Voga,74,1 - centro,frazione,Voga
Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Menarola,Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),,Gradesella,69,1 - centro,frazione,Gradesella
Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Menarola,Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),,Foppa,68,1 - centro,frazione,Foppo
Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),1807 (https://www.notion.so/1807-697234b5c2c145ba901136ca67cf54b2?pvs=21),Menarola,Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),,Castenedi,64,1 - centro,frazione,Castenedi
Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Mese,Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),,Scandolera,100,1 - centro,frazione,Scandolera
Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Mese,Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),,S Vittore,43,1 - centro,frazione,S Vittore
Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Mese,Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),,Piatti,45,1 - centro,frazione,Piatti
