anno cens,Com_Den,Sottosistemi territoriali,Località,Località 1861 nome,Loc_Cod,Loc_pop res,Loc_n fam,Loc_ab occ,Loc_ab non occ,ab non occ / tot,ab occ / tot,concat
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Starleggia (https://www.notion.so/Starleggia-2c4de700098e489297123369d97d3738?pvs=21),San Sisto (https://www.notion.so/San-Sisto-67aa183c4fce46d0a47deb705e1af2e3?pvs=21),Starleggia superiore / S Sisto,2,0,0,0,18,1,0,
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Starleggia (https://www.notion.so/Starleggia-2c4de700098e489297123369d97d3738?pvs=21),Splughetta (https://www.notion.so/Splughetta-ea499769ee4b47b89d7cc7089c741379?pvs=21),Speluga / Splughetta,2,39,6,6,5,0.454545454545,0.545454545455,
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Starleggia (https://www.notion.so/Starleggia-2c4de700098e489297123369d97d3738?pvs=21),Starleggia (https://www.notion.so/Starleggia-4bcaf289dbc64efea01a78f87a24755e?pvs=21),Starleggia inferiore,1,135,27,22,9,0.290322580645,0.709677419355,
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Portarezza (https://www.notion.so/Portarezza-75e1c612637a4ac4bf5030718a5d3a6a?pvs=21),Prestone (https://www.notion.so/Prestone-eee4523141d6486eba1a6657e4a2b6dc?pvs=21),Prestone,2,245,46,40,1,0.024390243902,0.975609756098,
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Portarezza (https://www.notion.so/Portarezza-75e1c612637a4ac4bf5030718a5d3a6a?pvs=21),Pietra (https://www.notion.so/Pietra-860742dcde46489ab9959bb256d306e2?pvs=21),Pietra,2,116,23,19,1,0.05,0.95,
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Portarezza (https://www.notion.so/Portarezza-75e1c612637a4ac4bf5030718a5d3a6a?pvs=21),Portarezza (https://www.notion.so/Portarezza-5e1019ae64ee487dbcb542e14f2c7510?pvs=21),Portarezza,1,115,24,24,5,0.172413793103,0.827586206897,
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Motta (https://www.notion.so/Motta-11b7c49d99b1807b8945e85b66fa4cad?pvs=21),Motta di Sotto / Marcadello (https://www.notion.so/Motta-di-Sotto-Marcadello-f5272861d33c47269c5fb3328fbc1bf5?pvs=21),Motta,1,63,13,10,8,0.444444444444,0.555555555556,
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Fraciscio (https://www.notion.so/Fraciscio-31b6116ab8d74f17876c6b10d56ea92f?pvs=21),Fraciscio (https://www.notion.so/Fraciscio-592929440fdd42e6a321f27ae9826033?pvs=21),Fraciscio,1,245,56,46,7,0.132075471698,0.867924528302,
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-e3ee37c7c7da48e09f77f9ba6472db9a?pvs=21),case sparse Campodolcino,3,6,0,2,6,0.75,0.25,
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-e3ee37c7c7da48e09f77f9ba6472db9a?pvs=21),Tini,2,136,34,26,7,0.212121212121,0.787878787879,
