anno cens,Com_Den,"Sottosistemi territoriali ",Località - centri,Fr_pop res
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Tini,133
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Corti,425
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Asee / Acero,64
1881 (https://www.notion.so/1881-11c7c49d99b18025b482e62c70ba8814?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Loreto e Orello,213
1881 (https://www.notion.so/1881-11c7c49d99b18025b482e62c70ba8814?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Uschione,271
1881 (https://www.notion.so/1881-11c7c49d99b18025b482e62c70ba8814?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Bette,325
1881 (https://www.notion.so/1881-11c7c49d99b18025b482e62c70ba8814?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Pianazzola,275
1881 (https://www.notion.so/1881-11c7c49d99b18025b482e62c70ba8814?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),S Giovanni,64
1881 (https://www.notion.so/1881-11c7c49d99b18025b482e62c70ba8814?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),S Carlo,141
1881 (https://www.notion.so/1881-11c7c49d99b18025b482e62c70ba8814?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Campedello,161
