anno cens,Comuni,Sottosistemi territoriali,Località - centri,Fr_pop res,Fr_n fam
1921 (https://www.notion.so/1921-2281e50de1704b2389ef65e565d46712?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Lirone/Gallivaggio (https://www.notion.so/Lirone-Gallivaggio-74919d941e124f1b93ad293980a67d4f?pvs=21),Gallivaggio,266,58
1921 (https://www.notion.so/1921-2281e50de1704b2389ef65e565d46712?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Olmo (https://www.notion.so/Olmo-e266e73304de44659843f19c2192bf9a?pvs=21),Olmo,367,97
1921 (https://www.notion.so/1921-2281e50de1704b2389ef65e565d46712?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Sant'Antonio di Albareda (https://www.notion.so/Sant-Antonio-di-Albareda-b618e2cef2014c2f83e17847b229f44e?pvs=21),S Antonio di Albareda,74,20
1921 (https://www.notion.so/1921-2281e50de1704b2389ef65e565d46712?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Sommarovina (https://www.notion.so/Sommarovina-0baad02d2acf40fea6532e11d2ad5f28?pvs=21),Sommarovina,163,36
1921 (https://www.notion.so/1921-2281e50de1704b2389ef65e565d46712?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-e18092e4bc0948ceb4db7f57c981a030?pvs=21),Dalo,129,21
1921 (https://www.notion.so/1921-2281e50de1704b2389ef65e565d46712?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-e18092e4bc0948ceb4db7f57c981a030?pvs=21),S Giacomo Filippo,314,58
1921 (https://www.notion.so/1921-2281e50de1704b2389ef65e565d46712?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),San Bernardo (https://www.notion.so/San-Bernardo-026e9f633635428bae3ee14694a74cd8?pvs=21),S Bernardo,235,55
1921 (https://www.notion.so/1921-2281e50de1704b2389ef65e565d46712?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Corti,446,104
1921 (https://www.notion.so/1921-2281e50de1704b2389ef65e565d46712?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Tini,149,35
1921 (https://www.notion.so/1921-2281e50de1704b2389ef65e565d46712?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Fraciscio (https://www.notion.so/Fraciscio-31b6116ab8d74f17876c6b10d56ea92f?pvs=21),Fraciscio,250,60
1921 (https://www.notion.so/1921-2281e50de1704b2389ef65e565d46712?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Motta (https://www.notion.so/Motta-11b7c49d99b1807b8945e85b66fa4cad?pvs=21),Motta,38,9
1921 (https://www.notion.so/1921-2281e50de1704b2389ef65e565d46712?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Portarezza (https://www.notion.so/Portarezza-75e1c612637a4ac4bf5030718a5d3a6a?pvs=21),Pietra,163,40
1921 (https://www.notion.so/1921-2281e50de1704b2389ef65e565d46712?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Portarezza (https://www.notion.so/Portarezza-75e1c612637a4ac4bf5030718a5d3a6a?pvs=21),Portarezza,20,8
1921 (https://www.notion.so/1921-2281e50de1704b2389ef65e565d46712?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Portarezza (https://www.notion.so/Portarezza-75e1c612637a4ac4bf5030718a5d3a6a?pvs=21),Prestone,345,84
1921 (https://www.notion.so/1921-2281e50de1704b2389ef65e565d46712?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Starleggia (https://www.notion.so/Starleggia-2c4de700098e489297123369d97d3738?pvs=21),Starleggia,302,65
1921 (https://www.notion.so/1921-2281e50de1704b2389ef65e565d46712?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21),Isola,139,52
1921 (https://www.notion.so/1921-2281e50de1704b2389ef65e565d46712?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21),Madesimo,172,39
1921 (https://www.notion.so/1921-2281e50de1704b2389ef65e565d46712?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21),Pianazzo,132,31
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-4a8dcbb56a96424487dfa1fe612d9f71?pvs=21),Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-11c7c49d99b1808c9140c8a0867a16b9?pvs=21),Ca Scattoni,564,118
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-4a8dcbb56a96424487dfa1fe612d9f71?pvs=21),Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-11c7c49d99b1808c9140c8a0867a16b9?pvs=21),Ponteggia,476,108
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-4a8dcbb56a96424487dfa1fe612d9f71?pvs=21),Villa di Chiavenna (https://www.notion.so/Villa-di-Chiavenna-11c7c49d99b1808c9140c8a0867a16b9?pvs=21),Chete,256,55
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),Prosto,588,120
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),S Abbondio,506,113
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),S Croce,332,73
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),Savogno,320,58
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna,3272,813
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Campedello,177,44
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Uschione,261,52
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Reguscio,56,14
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Bette,316,90
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Pianazzola,254,53
