Comuni,Sottosistemi territoriali,Località,COD_LOC 1991,SEZ 1991,TIPO_LOC,Loc_Den,PRO_COM,SEZ_POP,SEZ_CASE OCC,SEZ_CASE NON OCC,ALTITUDINE,NON OCC/TOT,occupate/TOT
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),"Bondeno di Fuori (https://www.notion.so/Bondeno-di-Fuori-fdca50b7aea047e5b0490aa347bf2abd?pvs=21), Bondeno di Dentro / Bondeno (https://www.notion.so/Bondeno-di-Dentro-Bondeno-7fb264d7b76147c2919a52c8814b204e?pvs=21)",140122001,140120000014,2,Bondeno,14012,0,0,29,1635,1,0
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Gualdera (https://www.notion.so/Gualdera-704a93a7e90440baaece96f08014dd76?pvs=21),140122004,140120000013,2,Gualdera,14012,8,2,39,1425,0.951219512195,0.048780487805
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Alpe Mottala (https://www.notion.so/Alpe-Mottala-6aaf46b7510e403699c81bcf0ce87bee?pvs=21),140122007,140120000012,2,Mottala,14012,0,0,25,1361,1,0
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-e3ee37c7c7da48e09f77f9ba6472db9a?pvs=21),140123001,140120000027,3,Case sparse_zona centrale,14012,0,0,0,,,
Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-e3ee37c7c7da48e09f77f9ba6472db9a?pvs=21),140121001, ,1,Campodolcino,14012,587,215,868,1071,0.801477377655,0.198522622345
Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-91234617eccd474aae4338f5c71427b8?pvs=21),140181001,140180000002,1,Chiavenna,14018,414,167,33,333,0.165,0.835
Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-91234617eccd474aae4338f5c71427b8?pvs=21),140181001,140180000003,1,Chiavenna,14018,373,166,91,333,0.354085603113,0.645914396887
Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-91234617eccd474aae4338f5c71427b8?pvs=21),140181001,140180000004,1,Chiavenna,14018,539,201,43,333,0.176229508197,0.823770491803
Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-91234617eccd474aae4338f5c71427b8?pvs=21),140181001,140180000005,1,Chiavenna,14018,547,189,50,333,0.209205020921,0.790794979079
Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-91234617eccd474aae4338f5c71427b8?pvs=21),140181001,140180000006,1,Chiavenna,14018,684,246,16,333,0.06106870229,0.93893129771
