Sottosistemi territoriali,Località,Comuni,SEZ2011,Com_Den,Pop_Res,case occ,case non occ,concat,%CASE NN OCC / TOT,%CASE occupate / TOT
Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-e3ee37c7c7da48e09f77f9ba6472db9a?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000001,Campodolcino,125,58,378,Campodolcino,0.866972477064,0.133027522936
Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-e3ee37c7c7da48e09f77f9ba6472db9a?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000002,Campodolcino,170,83,437,,0.840384615385,0.159615384615
Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-e3ee37c7c7da48e09f77f9ba6472db9a?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000003,Campodolcino,163,80,294,,0.786096256684,0.213903743316
Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-e3ee37c7c7da48e09f77f9ba6472db9a?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000004,Campodolcino,55,31,265,,0.89527027027,0.10472972973
Portarezza (https://www.notion.so/Portarezza-75e1c612637a4ac4bf5030718a5d3a6a?pvs=21),Pietra (https://www.notion.so/Pietra-860742dcde46489ab9959bb256d306e2?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000005,Campodolcino,132,62,204,Pietra,0.766917293233,0.233082706767
Portarezza (https://www.notion.so/Portarezza-75e1c612637a4ac4bf5030718a5d3a6a?pvs=21),Prestone (https://www.notion.so/Prestone-eee4523141d6486eba1a6657e4a2b6dc?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000006,Campodolcino,173,69,246,Prestone,0.780952380952,0.219047619048
Fraciscio (https://www.notion.so/Fraciscio-31b6116ab8d74f17876c6b10d56ea92f?pvs=21),Fraciscio (https://www.notion.so/Fraciscio-592929440fdd42e6a321f27ae9826033?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000007,Campodolcino,163,74,390,Fraciscio,0.840517241379,0.159482758621
Starleggia (https://www.notion.so/Starleggia-2c4de700098e489297123369d97d3738?pvs=21),Splughetta (https://www.notion.so/Splughetta-ea499769ee4b47b89d7cc7089c741379?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000008,Campodolcino,4,3,57,Splughetta,0.95,0.05
Starleggia (https://www.notion.so/Starleggia-2c4de700098e489297123369d97d3738?pvs=21),Starleggia (https://www.notion.so/Starleggia-4bcaf289dbc64efea01a78f87a24755e?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000009,Campodolcino,7,6,167,Starleggia,0.965317919075,0.034682080925
Starleggia (https://www.notion.so/Starleggia-2c4de700098e489297123369d97d3738?pvs=21),Ca di Lucc (https://www.notion.so/Ca-di-Lucc-a5f8f9a632e74d1d865ebdc5c5317937?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),140120000010,Campodolcino,0,0,33,Ca di Lucc,1,0
