NOTION;sottosistema;start;end;foglio catastale;particella catastale;generale;generale_URL;fronte nord;fronte nord_URL;fronte est;fronte est_URL;fronte sud;fronte sud_URL;fronte ovest;fronte ovest_URL;foto 1;foto 1_URL;foto 2;foto 2_URL;foto 3;foto 3_URL;destinazione d'uso;destinazione d'uso/residenziale;destinazione d'uso/multifunzione;destinazione d'uso/commerciale;destinazione d'uso/produttivo rurale;destinazione d'uso/produttivo industriale;destinazione d'uso/servizio accessorio;destinazione d'uso/non rilevabile;stato di utilizzo;stato di utilizzo/uso permanente;stato di utilizzo/uso temporaneo;stato di utilizzo/disuso;stato di utilizzo/disuso - rudere;stato di utilizzo/non rilevabile;stato di conservazione generale;stato di conservazione generale/perdita funzionalità;stato di conservazione generale/fenomeni di degrado diffusi;stato di conservazione generale/fenomeni di degrado superficiali;stato di conservazione generale/senza fenomeni di degrado;stato di conservazione generale/non rilevabile;note;_id;_uuid;_submission_time;_validation_status;_notes;_status;_submitted_by;__version__;_tags;_index;
SI;Campodolcino;2024-07-20;2024-07-20;53;73;1721486285117.jpg;https://kc.kobotoolbox.org/media/original?media_file=isabella_calvi%2Fattachments%2F2575d24117df44d3b2c83069c1abf4a7%2F6dc40177-62d3-44c0-83b0-8acbb9979153%2F1721486285117.jpg;;;;;;;;;;;;;;;servizio accessorio;0;0;0;0;0;1;0;uso permanente uso temporaneo;1;1;0;0;0;fenomeni di degrado superficiali;0;0;1;0;0;;362630846;6dc40177-62d3-44c0-83b0-8acbb9979153;2024-07-22;;;submitted_via_web;;vjsnLUWRAmZk953LFH4hZk;;1;
SI;Campodolcino;2024-07-20;2024-07-20;53;74;1721486339505.jpg;https://kc.kobotoolbox.org/media/original?media_file=isabella_calvi%2Fattachments%2F2575d24117df44d3b2c83069c1abf4a7%2Faa434d21-18cc-4a52-a0ea-737f151c26f1%2F1721486339505.jpg;;;;;;;;;;;;;;;residenziale;1;0;0;0;0;0;0;uso permanente uso temporaneo;1;1;0;0;0;fenomeni di degrado superficiali;0;0;1;0;0;4 piani;362694961;aa434d21-18cc-4a52-a0ea-737f151c26f1;2024-07-22;;;submitted_via_web;;vjsnLUWRAmZk953LFH4hZk;;2;
SI;Campodolcino;2024-07-20;2024-07-20;53;75;1721486387606.jpg;https://kc.kobotoolbox.org/media/original?media_file=isabella_calvi%2Fattachments%2F2575d24117df44d3b2c83069c1abf4a7%2F2db912c2-a023-4544-908d-f9518618d08c%2F1721486387606.jpg;;;;;;;;;;;;;;;residenziale;1;0;0;0;0;0;0;uso permanente uso temporaneo;1;1;0;0;0;fenomeni di degrado superficiali;0;0;1;0;0;4 piani con tienici e marca oooooii ani;362695075;2db912c2-a023-4544-908d-f9518618d08c;2024-07-22;;;submitted_via_web;;vjsnLUWRAmZk953LFH4hZk;;3;
SI;Campodolcino;2024-07-20;2024-07-20;53;85;1721486448539.jpg;https://kc.kobotoolbox.org/media/original?media_file=isabella_calvi%2Fattachments%2F2575d24117df44d3b2c83069c1abf4a7%2F33891056-4cbc-4592-95e9-adf3a75432e7%2F1721486448539.jpg;;;;;;;;;;;;;;;;;;;;;;;uso temporaneo;0;1;0;0;0;senza fenomeni di degrado;0;0;0;1;0;Sede consorzio prwstone;362695146;33891056-4cbc-4592-95e9-adf3a75432e7;2024-07-22;;;submitted_via_web;;vjsnLUWRAmZk953LFH4hZk;;4;
SI;Campodolcino;2024-07-20;2024-07-20;53;86;1721486517765.jpg;https://kc.kobotoolbox.org/media/original?media_file=isabella_calvi%2Fattachments%2F2575d24117df44d3b2c83069c1abf4a7%2Faf3b3120-42ea-414c-bcce-fa2796d8935f%2F1721486517765.jpg;;;;;;;;;;;;;;;residenziale;1;0;0;0;0;0;0;uso permanente uso temporaneo;1;1;0;0;0;fenomeni di degrado superficiali;0;0;1;0;0;Marcapiani e cornici 4 piani ;362695254;af3b3120-42ea-414c-bcce-fa2796d8935f;2024-07-22;;;submitted_via_web;;vjsnLUWRAmZk953LFH4hZk;;5;
SI;Campodolcino;2024-07-20;2024-07-20;53;87;1721486568603.jpg;https://kc.kobotoolbox.org/media/original?media_file=isabella_calvi%2Fattachments%2F2575d24117df44d3b2c83069c1abf4a7%2Fcb6c2194-395d-4144-8d7e-389c5628dd96%2F1721486568603.jpg;;;;;;;;;;;;;;;residenziale;1;0;0;0;0;0;0;disuso;0;0;1;0;0;fenomeni di degrado diffusi;0;1;0;0;0;Fessurazione ammorsamento ;362695371;cb6c2194-395d-4144-8d7e-389c5628dd96;2024-07-22;;;submitted_via_web;;vjsnLUWRAmZk953LFH4hZk;;6;
SI;Campodolcino;2024-07-20;2024-07-20;53;88;1721486629050.jpg;https://kc.kobotoolbox.org/media/original?media_file=isabella_calvi%2Fattachments%2F2575d24117df44d3b2c83069c1abf4a7%2F550d924b-902c-4d47-9839-e2c3762b231b%2F1721486629050.jpg;;;;;;;;;;;;;;;residenziale;1;0;0;0;0;0;0;uso permanente uso temporaneo;1;1;0;0;0;fenomeni di degrado superficiali;0;0;1;0;0;Alcune fessurazioni sotto finestrone distacco parte inferiore voltini copertura cemento ;362695452;550d924b-902c-4d47-9839-e2c3762b231b;2024-07-22;;;submitted_via_web;;vjsnLUWRAmZk953LFH4hZk;;7;
SI;Campodolcino;2024-07-20;2024-07-20;53;690;1721486734136.jpg;https://kc.kobotoolbox.org/media/original?media_file=isabella_calvi%2Fattachments%2F2575d24117df44d3b2c83069c1abf4a7%2F8c61fb54-003f-4e7c-857d-86f2da7dcc79%2F1721486734136.jpg;;;;;;;;;;;;;;;residenziale;1;0;0;0;0;0;0;uso permanente uso temporaneo;1;1;0;0;0;fenomeni di degrado diffusi;0;1;0;0;0;Fessurazioni finestre 3 piano brutte;362695549;8c61fb54-003f-4e7c-857d-86f2da7dcc79;2024-07-22;;;submitted_via_web;;vjsnLUWRAmZk953LFH4hZk;;8;
SI;Campodolcino;2024-07-20;2024-07-20;53;106;1721486940436.jpg;https://kc.kobotoolbox.org/media/original?media_file=isabella_calvi%2Fattachments%2F2575d24117df44d3b2c83069c1abf4a7%2Ff638bab8-b01d-4461-849e-c36ac3637d9e%2F1721486940436.jpg;;;;;;;;;;;;;;;residenziale;1;0;0;0;0;0;0;uso permanente uso temporaneo;1;1;0;0;0;fenomeni di degrado diffusi;0;1;0;0;0;Apprezzo ammorsamento alcuna intonaco ;362695631;f638bab8-b01d-4461-849e-c36ac3637d9e;2024-07-22;;;submitted_via_web;;vjsnLUWRAmZk953LFH4hZk;;9;
SI;Campodolcino;2024-07-20;2024-07-20;53;108;1721487029525.jpg;https://kc.kobotoolbox.org/media/original?media_file=isabella_calvi%2Fattachments%2F2575d24117df44d3b2c83069c1abf4a7%2F08e28bc6-d1b2-45de-bea9-4072d87207f9%2F1721487029525.jpg;;;;;;;;;;;;;;;residenziale;1;0;0;0;0;0;0;disuso;0;0;1;0;0;fenomeni di degrado diffusi;0;1;0;0;0;Lacune intonaco;362695697;08e28bc6-d1b2-45de-bea9-4072d87207f9;2024-07-22;;;submitted_via_web;;vjsnLUWRAmZk953LFH4hZk;;10;
