cat 2022,Località,comune senza link,località senza link,Immagini_fotografie sopralluogo,cat 1853,dest uso 1853,sezione località,dest uso 1853 - extra,cat 1807,stato_conservazione_globale,destinazione_uso_attuale,stato_utilizzo_attuale,stato_conservazione_globale (doppie),cat 1951,dest uso 1950,vincoli e tutele,TARI 2021 - da tenere,IMU 2021 - da tenere,note - da tenere,caratteri_storico_culturali,apparati decorativi,apparati decorativi - stato di conservazione,infissi esterni - tipologia,infissi esterni - materiale,infissi esterni - stato di conservazione,collegamenti esterni - tipologia,collegamenti esterni - materiale,collegamenti esterni - stato di conservazione,accessibilità,smaltimento_acqua,smaltimento_acqua - stato di conservazione,finiture esterne - tipologia,finiture esterne - dettaglio materiale intonaco,finiture esterne - conservazione,componenti strutturali verticali - materiale,componenti verticali - tecnica costruttiva,componenti verticali - conservazione,componenti - coperture - materiale,componenti - coperture - tecnica costruttiva,componenti - coperture - conservazione,componenti strutturali orizzontali - tecnica costruttiva,componenti strutturali orizzontali - materiale,componenti strutturali orizzontali - conservazione,componenti - fondazioni,presenza_opere_provvisionali,degrado - finiture esterne,degrado - componenti vert,degrado - coperture,unità 1 - piani,unità 2 - piani,unità 3 - piani,pavimentazioni_esterne,impiantistica,Comune,loc senza link
54_383,Tecciali / Tecciato (https://www.notion.so/Tecciali-Tecciato-349365ef48ef4f228562a9c08d3e9997?pvs=21),San Giacomo Filippo,Tecciali / Tecciato,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9048.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9040.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9039.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9035.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9034.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9032.jpg",,,,,non presente,fenomeni di degrado superficiali,multifunzione,uso temporaneo,fenomeni di degrado superficiali,383,FA RURALE,"I2, LOCALE",,A04,,,,,,,,,,,sentiero,,,intonaco_fine,,fenomeni di degrado superficiali,pietra con legante,muri portanti,senza fenomeni di degrado,"legno, pietra",tecnica tradizionale,fenomeni di degrado superficiali,,,,,,,,,2,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Tecciali / Tecciato
54_384,Tecciali / Tecciato (https://www.notion.so/Tecciali-Tecciato-349365ef48ef4f228562a9c08d3e9997?pvs=21),San Giacomo Filippo,Tecciali / Tecciato,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9057.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9053.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9051.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9050.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9046.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9044.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9043.jpg",608,P SF,,,non presente,"fenomeni di degrado superficiali, modifiche sostanziali caratteri tradizionali",multifunzione,uso temporaneo,"fenomeni di degrado superficiali, modifiche sostanziali caratteri tradizionali",384,FA RURALE,"I2, LOCALE",Uso domestico_seconde case,,elementi non consoni con caratteri tradiziali,,,,finestre,"legno, metallo",,,,,sentiero,,,intonaco_fine,,fenomeni di degrado superficiali,pietra con legante,muri portanti,fenomeni di degrado superficiali,"legno, materiale metallico, pietra",tecnica moderna,fenomeni di degrado superficiali,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Tecciali / Tecciato
54_382,Tecciali / Tecciato (https://www.notion.so/Tecciali-Tecciato-349365ef48ef4f228562a9c08d3e9997?pvs=21),San Giacomo Filippo,Tecciali / Tecciato,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9087.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9063.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9061.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9060.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9038.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9041.jpg",3712,P CC,,3715 - LT,non presente,senza fenomeni di degrado,multifunzione,uso temporaneo,senza fenomeni di degrado,382,FA RURALE,"I2, LOCALE",Uso domestico_seconde case,A04,,,,,,,,,,,sentiero,,,"intonaco_fine, rivestimento in legno",,fenomeni di degrado superficiali,pietra con legante,muri portanti,senza fenomeni di degrado,"legno, pietra",tecnica moderna,senza fenomeni di degrado,,,,,,,,,"1, ovest, seminterrato","2, est, seminterrato",,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Tecciali / Tecciato
54_385,Tecciali / Tecciato (https://www.notion.so/Tecciali-Tecciato-349365ef48ef4f228562a9c08d3e9997?pvs=21),San Giacomo Filippo,Tecciali / Tecciato,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9065.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9064.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9059.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9056.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9055.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9054.jpg",608,P SF,,,presente,fenomeni di degrado diffusi,produttivo rurale,disuso,fenomeni di degrado diffusi,385,FA RURALE,"I2, LOCALE",,C02,,,,,,,,,,,sentiero,,,non presente,,,pietra a secco,muri portanti,fenomeni di degrado superficiali,non presente,non presente,perdita funzionalità,,,,,coperture provvisorie,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Tecciali / Tecciato
54_389,Tecciali / Tecciato (https://www.notion.so/Tecciali-Tecciato-349365ef48ef4f228562a9c08d3e9997?pvs=21),San Giacomo Filippo,Tecciali / Tecciato,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9086.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9066.jpg",603,SF,,,parziale,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,389,FA RURALE,"I2, LOCALE",Uso domestico_seconde case,,,,,,,,,,,,sentiero,,,intonaco_fine,,senza fenomeni di degrado,"legno, pietra con legante",muri portanti,senza fenomeni di degrado,"legno, pietra",tecnica moderna,senza fenomeni di degrado,,,,,,,,,"2, ovest, seminterrato","1, est, seminterrato",,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Tecciali / Tecciato
54_395,Tecciali / Tecciato (https://www.notion.so/Tecciali-Tecciato-349365ef48ef4f228562a9c08d3e9997?pvs=21),San Giacomo Filippo,Tecciali / Tecciato,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9071.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9069.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9068.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9067.jpg",599,SF,,,presente,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,395,PFA RURALE,"I2, LOCALE",Uso domestico_seconde case,,,,,,,,,,,,sentiero,,,non presente,,,"legno, pietra a secco, pietra con legante",muri portanti,senza fenomeni di degrado,"legno, pietra",tecnica moderna,senza fenomeni di degrado,,,,,,,,,"1, seminterrato, sottotetto",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Tecciali / Tecciato
54_397,Tecciali / Tecciato (https://www.notion.so/Tecciali-Tecciato-349365ef48ef4f228562a9c08d3e9997?pvs=21),San Giacomo Filippo,Tecciali / Tecciato,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9110.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9110%201.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9106.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9107.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9108.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9105.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9096.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9088.jpg",597,CC,,,presente,fenomeni di degrado superficiali,residenziale,uso temporaneo,fenomeni di degrado superficiali,397,PFA RURALE,"I2, LOCALE",Uso domestico_seconde case,,397+398,cardèn (struttura in legno incardinata),"architravi lignei, dipinti - affreschi, finestre a sguincio",,,,,balcone,legno,fenomeni di degrado superficiali,sentiero,,,intonaco_rustico,,fenomeni di degrado diffusi,"legno, pietra a secco, pietra con legante",incardinato + basamento e/o parziale rivestimento in pietra,fenomeni di degrado superficiali,"legno, pietra",tecnica tradizionale,fenomeni di degrado superficiali,a telaio,legno,non rilevabile,,,,,,"2, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Tecciali / Tecciato
54_398,Tecciali / Tecciato (https://www.notion.so/Tecciali-Tecciato-349365ef48ef4f228562a9c08d3e9997?pvs=21),San Giacomo Filippo,Tecciali / Tecciato,,596,CC,,,presente,fenomeni di degrado diffusi,residenziale,disuso,fenomeni di degrado diffusi,398,FA RURALE,"I2, LOCALE",,A11,397+398,,"architravi lignei, finestre a sguincio",,,,,balcone,legno,fenomeni di degrado superficiali,sentiero,,,non presente,,,"legno, pietra a secco, pietra con legante",incardinato + basamento e/o parziale rivestimento in pietra,fenomeni di degrado superficiali,"legno, pietra",tecnica tradizionale,fenomeni di degrado diffusi,a telaio,legno,non rilevabile,,,,,,"2, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Tecciali / Tecciato
54_400,Tecciali / Tecciato (https://www.notion.so/Tecciali-Tecciato-349365ef48ef4f228562a9c08d3e9997?pvs=21),San Giacomo Filippo,Tecciali / Tecciato,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9109.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9111.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9112.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9095.jpg",598,SF,,,presente,fenomeni di degrado diffusi,produttivo rurale,disuso,fenomeni di degrado diffusi,400,PFA RURALE,"I3, LOCALE",,C02,,tabìa (stalla / fienile con pilastri / tamponatura in legno),,,,,,,,,sentiero,,,intonaco_rustico,,fenomeni di degrado diffusi,"legno, pietra a secco",muri portanti,fenomeni di degrado superficiali,"legno, pietra",tecnica tradizionale,fenomeni di degrado diffusi,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Tecciali / Tecciato
54_407,Tecciali / Tecciato (https://www.notion.so/Tecciali-Tecciato-349365ef48ef4f228562a9c08d3e9997?pvs=21),San Giacomo Filippo,Tecciali / Tecciato,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9118.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9102.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_9098.jpg",606,CC,,,presente,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,407,FA RURALE,"I2, LOCALE",Uso domestico_seconde case,,,,,,,,,,,,sentiero,,,non presente,,,"legno, pietra a secco, pietra con legante",muri portanti,senza fenomeni di degrado,"legno, pietra",tecnica moderna,senza fenomeni di degrado,,,,,,,,,"2, seminterrato",,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Tecciali / Tecciato
